ID,Brand,Model,Type,Year,Age,KmDriven,Transmission,Owner,FuelType,AskPrice
C0083,Hyundai,Alcazar,SUV,2023,1,2500,Automatic,First,Petrol,1800000
C0084,Maruti Suzuki,Swift,Hatchback,2019,5,32000,Manual,Second,Petrol,575000
C0085,Mahindra,Thar,SUV,2021,3,66000,Manual,First,Diesel,1425000
C0086,Maruti Suzuki,Alto-K10,Hatchback,2019,5,62000,Manual,First,Petrol,360000
C0087,Hyundai,Venue,SUV,2022,2,55000,Manual,First,Diesel,1250000
C0088,Mahindra,Bolero Neo,SUV,2023,1,35000,Automatic,Second,Diesel,1050000
C0089,Mahindra,XUV700,SUV,2024,0,16666,Automatic,First,Diesel,2599999
C0090,Skoda,Kushaq,SUV,2022,2,38917,Manual,First,Petrol,1225000
C0091,Maruti Suzuki,Baleno,Hatchback,2016,8,55000,Automatic,First,Petrol,655000
C0092,Maruti Suzuki,Ertiga,MUV,2022,2,8638,Manual,First,Petrol,1150000
C0093,Maruti Suzuki,Swift,Hatchback,2021,3,29000,Automatic,First,Petrol,765000
C0094,MG,ASTOR,SUV,2024,0,260,Manual,First,Petrol,1495000
C0095,Hyundai,Verna,Sedan,2023,1,15120,Automatic,First,Petrol,1550000
C0096,Tata,Altroz,Hatchback,2021,3,21000,Manual,Second,Petrol,535000
C0097,Mahindra,Scorpio-N,SUV,2022,2,20000,Manual,First,Diesel,1945000
C0098,Maruti Suzuki,Swift,Hatchback,2018,6,38000,Manual,Second,Petrol,480000
C0099,Mahindra,Thar,SUV,2021,3,30000,Automatic,First,Diesel,1540000
C0100,Maruti Suzuki,Wagon-R,Hatchback,2021,3,71000,Manual,First,Petrol,475000
C0101,Hyundai,Creta,SUV,2023,1,4800,Automatic,Second,Diesel,1950000
C0102,Maruti Suzuki,Baleno,Hatchback,2017,7,59000,Manual,First,Petrol,515000
C0103,Maruti Suzuki,XL6,MUV,2022,2,76000,Manual,First,Petrol,1000000
C0104,Maruti Suzuki,Ertiga,MUV,2021,3,38000,Automatic,First,Petrol,1155000
C0105,Maruti Suzuki,Swift,Hatchback,2024,0,6000,Automatic,First,Petrol,1150000
C0106,Hyundai,Verna,Sedan,2018,6,57546,Automatic,First,Petrol,849999
C0107,Maruti Suzuki,Swift,Hatchback,2018,6,48000,Automatic,Second,Petrol,535000
C0108,Toyota,Fortuner,SUV,2021,3,40000,Automatic,First,Diesel,4100000
C0109,Maruti Suzuki,XL6,MUV,2021,3,22864,Automatic,First,Petrol,1095000
C0110,Hyundai,Grand i10 Nios,Hatchback,2020,4,33145,Manual,First,Petrol,600000
C0111,Hyundai,Venue,SUV,2022,2,38000,Manual,First,Petrol,1040000
C0112,Honda,City,Sedan,2023,1,9500,Automatic,First,Petrol,1475000
C0113,Hyundai,Creta,SUV,2021,3,96000,Automatic,First,Diesel,1700000
C0114,Maruti Suzuki,XL6,MUV,2019,5,65000,Manual,First,Petrol,925000
C0115,Maruti Suzuki,Celerio,Hatchback,2018,6,38000,Automatic,Second,Petrol,380000
C0116,Maruti Suzuki,Celerio,Hatchback,2016,8,36000,Automatic,First,Petrol,399999
C0117,Hyundai,Creta,SUV,2022,2,19000,Automatic,First,Diesel,2290000
C0118,Renault,Triber,MUV,2020,4,59000,Manual,First,Petrol,675000
C0119,Kia,Seltos,SUV,2022,2,15000,Automatic,First,Petrol,1800000
C0120,Mahindra,XUV700,SUV,2022,2,6789,Automatic,First,Diesel,2000000
C0121,Toyota,Glanza,Hatchback,2020,4,38000,Automatic,First,Petrol,574000
C0122,Toyota,Innova Crysta,MPV,2024,0,6110,Manual,First,Diesel,2785000
C0123,Honda,City,Sedan,2018,6,58000,Manual,First,Petrol,574000
C0124,Maruti Suzuki,Swift,Hatchback,2021,3,41000,Manual,First,Petrol,679000
C0125,Renault,KWID,Hatchback,2017,7,67000,Manual,Second,Petrol,250000
C0126,Maruti Suzuki,Swift,Hatchback,2023,1,11000,Automatic,First,Petrol,725000
C0127,Honda,City,Sedan,2017,7,28000,Automatic,First,Petrol,685000
C0128,Maruti Suzuki,Celerio,Hatchback,2017,7,142000,Automatic,First,Petrol,345000
C0129,Renault,KWID,Hatchback,2019,5,18000,Manual,First,Petrol,325000
C0130,Maruti Suzuki,Alto-K10,Hatchback,2017,7,65000,Automatic,First,Petrol,300000
C0131,Maruti Suzuki,Celerio,Hatchback,2017,7,67000,Automatic,Second,Petrol,450000
C0132,Maruti Suzuki,Swift,Hatchback,2019,5,7000,Automatic,Second,Petrol,650000
C0133,Maruti Suzuki,Grand Vitara,SUV,2024,0,1600,Manual,First,Petrol,1350000
C0134,Maruti Suzuki,Grand Vitara,SUV,2024,0,1600,Manual,First,Petrol,1350000
C0135,Maruti Suzuki,Swift,Hatchback,2018,6,42175,Automatic,First,Petrol,429000
C0136,Kia,Seltos,SUV,2023,1,27000,Automatic,First,Diesel,1775000
C0137,Skoda,Kushaq,SUV,2022,2,10000,Automatic,First,Petrol,1361000
C0138,Hyundai,Verna,Sedan,2023,1,12700,Manual,First,Petrol,1575000
C0139,Honda,Amaze,Sedan,2020,4,41000,Manual,Second,Petrol,575000
C0140,Mahindra,Scorpio Classic,SUV,2024,0,33000,Manual,First,Diesel,1850000
C0141,Maruti Suzuki,Swift,Hatchback,2018,6,45000,Manual,Second,Petrol,510000
C0142,Maruti Suzuki,Baleno,Hatchback,2019,5,53000,Manual,Second,Petrol,635000
C0143,Renault,KWID,Hatchback,2019,5,18000,Manual,First,Petrol,324000
C0144,Renault,KWID,Hatchback,2018,6,37000,Automatic,Second,Petrol,325000
C0145,Tata,Tigor,Sedan,2018,6,800000,Manual,Second,Petrol,485000
C0146,Maruti Suzuki,Baleno,Hatchback,2019,5,38032,Automatic,Second,Petrol,690000
C0147,MG,Hector,SUV,2019,5,17000,Automatic,First,Petrol,1390000
C0148,Honda,City,Sedan,2017,7,69000,Manual,Second,Petrol,610000
C0149,Maruti Suzuki,Ertiga,MUV,2019,5,15000,Automatic,Second,Petrol,1055000
C0150,Maruti Suzuki,Wagon R,Hatchback,2016,8,65000,Automatic,Second,Petrol,460000
C0151,Toyota,Fortuner,SUV,2021,3,77000,Automatic,First,Diesel,3890000
C0152,Tata,Harrier,SUV,2021,3,50000,Automatic,First,Diesel,1699000
C0153,Hyundai,Venue,SUV,2022,2,13000,Manual,First,Petrol,825000
C0154,Maruti Suzuki,Baleno,Hatchback,2017,7,47231,Manual,First,Petrol,535101
C0155,Maruti Suzuki,Eeco,MPV,2019,5,38000,Manual,First,Petrol,410000
C0156,Hyundai,Alcazar,SUV,2022,2,24000,Automatic,First,Diesel,1875000
C0157,Hyundai,Grand i10 Nios,Hatchback,2020,4,51500,Automatic,Second,Petrol,499999
C0158,Renault,KWID,Hatchback,2018,6,67000,Manual,Second,Petrol,299000
C0159,Honda,Amaze,Sedan,2017,7,50000,Manual,Second,Petrol,460000
C0160,Hyundai,Creta,SUV,2023,1,10110,Manual,First,Petrol,1095000
C0161,Renault,KWID,Hatchback,2017,7,90000,Automatic,First,Petrol,290000
C0162,Maruti Suzuki,XL6,MUV,2020,4,70000,Manual,First,Petrol,1100000
C0163,Maruti Suzuki,Ignis,Hatchback,2022,2,21260,Manual,First,Petrol,535000
C0164,Maruti Suzuki,Alto-K10,Hatchback,2019,5,80000,Automatic,Second,Petrol,280000
C0165,Kia,Seltos,SUV,2020,4,42000,Manual,First,Petrol,1080000
C0166,Maruti Suzuki,Celerio,Hatchback,2018,6,72000,Automatic,First,Petrol,400000
C0167,Toyota,Innova Crysta,MPV,2022,2,61000,Manual,First,Diesel,2450000
C0168,Toyota,Fortuner,SUV,2023,1,35000,Manual,First,Diesel,4000000
C0169,Toyota,Glanza,Hatchback,2020,4,79000,Automatic,First,Petrol,650000
C0170,Hyundai,Alcazar,SUV,2022,2,23950,Automatic,First,Diesel,2075000
C0171,Hyundai,Creta,SUV,2016,8,58000,Automatic,Second,Petrol,745000
C0172,Maruti Suzuki,Brezza,SUV,2024,0,20000,Manual,First,Petrol,1100000
C0173,Renault,KWID,Hatchback,2022,2,36000,Automatic,First,Petrol,485000
C0174,Tata,Punch,SUV,2022,2,19100,Manual,First,Petrol,651000
C0175,Maruti Suzuki,XL6,MUV,2021,3,62035,Automatic,First,Petrol,1095000
C0176,Hyundai,Creta,SUV,2018,6,48000,Manual,Second,Petrol,765000
C0177,Kia,Sonet,SUV,2020,4,42000,Automatic,First,Petrol,785000
C0178,Kia,Sonet,SUV,2021,3,26000,Manual,First,Petrol,875000
C0179,Renault,KWID,Hatchback,2020,4,31000,Automatic,First,Petrol,390000
C0180,Mahindra,Thar,SUV,2023,1,7300,Automatic,First,Diesel,1571000
C0181,Mahindra,Bolero Neo,SUV,2022,2,41000,Manual,First,Diesel,950000
C0182,Maruti Suzuki,Swift,Hatchback,2022,2,25772,Manual,First,Petrol,699999
C0183,Toyota,Innova Crysta,MPV,2021,3,37200,Automatic,First,Diesel,2590000
C0184,Hyundai,Creta,SUV,2019,5,49000,Automatic,First,Petrol,995000
C0185,Mahindra,Bolero,SUV,2021,3,80000,Manual,Second,Diesel,925000
C0186,Tata,Tiago,Hatchback,2020,4,28300,Manual,Second,Petrol,495000
C0187,Renault,Triber,MUV,2021,3,55000,Manual,First,Petrol,350000
C0188,Toyota,Innova Crysta,MPV,2022,2,35000,Automatic,First,Diesel,2695000
C0189,Kia,Carens,MPV,2022,2,77000,Automatic,First,Diesel,1725000
C0190,Toyota,Innova Crysta,MPV,2023,1,12500,Manual,First,Diesel,2425000
C0191,Hyundai,Verna,Sedan,2017,7,38000,Automatic,Second,Petrol,825000
C0192,Tata,Tiago,Hatchback,2019,5,35967,Manual,First,Petrol,410000
C0193,Hyundai,Alcazar,SUV,2024,0,4700,Manual,First,Diesel,2100000
C0194,Mahindra,Thar,SUV,2021,3,38000,Automatic,First,Diesel,1600000
C0195,Mahindra,Thar,SUV,2021,3,46000,Automatic,First,Diesel,1620000
C0196,Kia,Sonet,SUV,2023,1,2400,Automatic,First,Diesel,1325000
C0197,Honda,Amaze,Sedan,2019,5,67000,Automatic,Second,Petrol,575000
C0198,Maruti Suzuki,Baleno,Hatchback,2016,8,55000,Manual,Second,Petrol,530000
C0199,Kia,Seltos,SUV,2021,3,100000,Automatic,First,Diesel,1350000
C0200,Hyundai,Venue,SUV,2019,5,52000,Manual,Second,Petrol,725000
C0201,Honda,Amaze,Sedan,2022,2,21000,Automatic,First,Petrol,795000
C0202,Maruti Suzuki,Swift,Hatchback,2019,5,48000,Manual,First,Petrol,525000
C0203,Maruti Suzuki,Swift,Hatchback,2022,2,19245,Automatic,First,Petrol,690000
C0204,Honda,City,Sedan,2021,3,15000,Automatic,First,Petrol,1425000
C0205,Maruti Suzuki,Swift,Hatchback,2020,4,65000,Manual,First,Petrol,600000
C0206,Honda,City,Sedan,2018,6,48000,Manual,Second,Petrol,575000
C0207,Renault,KWID,Hatchback,2016,8,40000,Manual,Second,Petrol,145000
C0208,Honda,City,Sedan,2017,7,28305,Automatic,First,Petrol,681000
C0209,Maruti Suzuki,Ertiga,MUV,2017,7,46000,Automatic,Second,Petrol,725000
C0210,Maruti Suzuki,S-Presso,Hatchback,2021,3,25000,Automatic,Second,Petrol,450000
C0211,Maruti Suzuki,Ignis,Hatchback,2020,4,28000,Automatic,Second,Petrol,649999
C0212,Honda,City,Sedan,2016,8,29000,Automatic,First,Petrol,675000
C0213,Hyundai,Creta,SUV,2022,2,9000,Manual,First,Petrol,1495000
C0214,Hyundai,Venue,SUV,2020,4,30000,Manual,First,Petrol,705000
C0215,Tata,Tigor,Sedan,2022,2,18000,Manual,First,Petrol,800000
C0216,Kia,Sonet,SUV,2023,1,2400,Automatic,First,Petrol,1325000
C0217,Honda,City,Sedan,2016,8,111000,Automatic,First,Petrol,450000
C0218,Maruti Suzuki,Baleno,Hatchback,2017,7,51000,Manual,First,Petrol,485000
C0219,Maruti Suzuki,Ertiga,MUV,2021,3,19500,Manual,First,Petrol,1100000
C0220,Honda,City,Sedan,2016,8,56000,Automatic,Second,Petrol,625000
C0221,Toyota,Innova Crysta,MPV,2022,2,7000,Automatic,First,Petrol,2250000
C0222,Mahindra,XUV700,SUV,2024,0,1450,Automatic,First,Diesel,2727000
C0223,Honda,Amaze,Sedan,2021,3,31986,Manual,First,Petrol,675000
C0224,Tata,Harrier,SUV,2023,1,29000,Manual,First,Diesel,1795000
C0225,Honda,Amaze,Sedan,2020,4,25000,Manual,First,Petrol,655000
C0226,Maruti Suzuki,Baleno,Hatchback,2016,8,63200,Automatic,Second,Petrol,585000
C0227,Kia,Sonet,SUV,2023,1,43000,Manual,First,Diesel,1090000
C0228,MG,Hector,SUV,2021,3,50000,Automatic,Second,Petrol,1399000
C0229,Tata,Nexon,SUV,2018,6,38000,Manual,First,Petrol,595000
C0230,Toyota,Glanza,Hatchback,2021,3,28000,Automatic,Second,Petrol,750000
C0231,Maruti Suzuki,Grand Vitara,SUV,2023,1,20000,Automatic,First,Petrol,1795000
C0232,Kia,Seltos,SUV,2022,2,18000,Automatic,First,Petrol,1495000
C0233,Mahindra,Scorpio N,SUV,2023,1,12000,Automatic,First,Diesel,2400000
C0234,Hyundai,Alcazar,SUV,2022,2,33000,Automatic,First,Diesel,1899000
C0235,Maruti Suzuki,Brezza,SUV,2022,2,33000,Automatic,First,Petrol,890000
C0236,Hyundai,Verna,Sedan,2021,3,46000,Automatic,First,Petrol,1200000
C0237,Hyundai,Creta,SUV,2021,3,25000,Manual,First,Petrol,1295000
C0238,Renault,KWID,Hatchback,2017,7,33000,Automatic,Second,Petrol,375000
C0239,MG,Hector,SUV,2019,5,16000,Automatic,Second,Petrol,1250000
C0240,Hyundai,Creta,SUV,2019,5,38000,Automatic,Second,Petrol,950000
C0241,Hyundai,Creta,SUV,2020,4,54000,Manual,First,Petrol,1090000
C0242,Hyundai,Tucson,SUV,2021,3,29168,Automatic,First,Diesel,2600000
C0243,Maruti Suzuki,Baleno,Hatchback,2019,5,21000,Manual,First,Petrol,675000
C0244,Hyundai,Creta,SUV,2022,2,33000,Automatic,First,Diesel,1835000
C0245,Honda,City,Sedan,2017,7,73000,Automatic,First,Petrol,590000
C0246,Honda,City,Sedan,2017,7,81000,Automatic,First,Petrol,699000
C0247,Hyundai,Creta,SUV,2023,1,34000,Automatic,First,Diesel,1950000
C0248,Honda,City,Sedan,2016,8,40000,Manual,First,Petrol,625000
C0249,Hyundai,Alcazar,SUV,2021,3,100000,Automatic,First,Diesel,1450000
C0250,Hyundai,Creta,SUV,2018,6,54000,Manual,Second,Petrol,895000
C0251,MG,Hector,SUV,2020,4,65000,Manual,Second,Petrol,1125000
C0252,Hyundai,Verna,Sedan,2022,2,50000,Manual,First,Diesel,1200000
C0253,Mahindra,Thar,SUV,2022,2,39000,Manual,First,Diesel,1450000
C0254,Kia,Seltos,SUV,2021,3,35000,Automatic,First,Diesel,1735000
C0255,Maruti Suzuki,Wagon R,Hatchback,2017,7,41000,Automatic,First,Petrol,465000
C0256,Kia,Seltos,SUV,2019,5,22000,Automatic,Second,Petrol,1195000
C0257,Mahindra,XUV700,SUV,2023,1,5000,Automatic,First,Diesel,2950000
C0258,Hyundai,Creta,SUV,2019,5,50000,Manual,First,Petrol,975000
C0259,Renault,Triber,MUV,2022,2,39000,Automatic,First,Diesel,750000
C0260,Hyundai,Creta,SUV,2017,7,67000,Automatic,First,Petrol,790000
C0261,Maruti Suzuki,Celerio,Hatchback,2016,8,94000,Automatic,Second,Petrol,305000
C0262,Toyota,Fortuner,SUV,2023,1,19000,Automatic,First,Diesel,3950000
C0263,Hyundai,Creta,SUV,2017,7,77000,Manual,First,Petrol,770000
C0264,Tata,Harrier,SUV,2024,0,4200,Automatic,First,Diesel,2125000
C0265,Tata,Harrier,SUV,2022,2,20000,Automatic,First,Diesel,2150000
C0266,Maruti Suzuki,Baleno,Hatchback,2020,4,45124,Manual,First,Petrol,650000
C0267,Maruti Suzuki,Ignis,Hatchback,2017,7,88000,Manual,Second,Petrol,410000
C0268,Maruti Suzuki,Grand Vitara,SUV,2024,0,1600,Manual,First,Petrol,1350000
C0269,Honda,City,Sedan,2018,6,82000,Manual,Second,Petrol,650000
C0270,Toyota,Fortuner,SUV,2023,1,19500,Automatic,Second,Diesel,4370000
C0271,Tata,Tigor,Sedan,2017,7,49000,Automatic,Second,Petrol,430000
C0272,Honda,City,Sedan,2017,7,70000,Manual,Second,Petrol,685000
C0273,Kia,Seltos,SUV,2021,3,35213,Automatic,First,Petrol,1095000
C0274,Tata,Nexon,SUV,2020,4,30000,Manual,First,Petrol,775000
C0275,Tata,Nexon,SUV,2019,5,31000,Manual,First,Petrol,600000
C0276,Hyundai,Creta,SUV,2020,4,55000,Automatic,Second,Petrol,1325000
C0277,Maruti Suzuki,Ertiga,MUV,2023,1,8500,Automatic,First,Petrol,1051000
C0278,Maruti Suzuki,Baleno,Hatchback,2018,6,72000,Automatic,Second,Petrol,530000
C0279,Maruti Suzuki,Swift,Hatchback,2016,8,1,Manual,First,Petrol,510000
C0280,Toyota,Innova Crysta,MPV,2022,2,21000,Automatic,First,Diesel,2590000
C0281,Tata,Harrier,SUV,2021,3,29336,Manual,First,Diesel,2185000
C0282,Mahindra,Bolero Neo,SUV,2023,1,,Manual,First,Diesel,1000000
C0283,Tata,Harrier,SUV,2022,2,48000,Automatic,First,Diesel,2099999
C0284,Skoda,Kushaq,SUV,2024,0,13000,Automatic,First,Petrol,1475000
C0285,Honda,Amaze,Sedan,2019,5,45000,Automatic,First,Petrol,649999
C0286,Toyota,Land Cruiser,SUV,2023,1,15000,Automatic,First,Diesel,24700000
C0287,Maruti Suzuki,Ignis,Hatchback,2018,6,31000,Manual,First,Petrol,419000
C0288,Maruti Suzuki,Swift,Hatchback,2020,4,45000,Manual,First,Petrol,525000
C0289,Hyundai,Verna,Sedan,2020,4,58000,Manual,Second,Petrol,950000
C0290,Maruti Suzuki,Swift,Hatchback,2023,1,11000,Automatic,First,Petrol,815000
C0291,Skoda,Slavia,Sedan,2022,2,40400,Automatic,First,Petrol,1451000
C0292,Tata,Punch ,SUV,2022,2,7200,Manual,First,Petrol,6500000
C0293,Skoda,Kushaq,SUV,2022,2,39500,Automatic,First,Petrol,1290000
C0294,Maruti Suzuki,Alto K10,Hatchback,2018,6,10500,Automatic,Second,Petrol,375000
C0295,Maruti Suzuki,Fronx,SUV,2023,1,13000,Automatic,First,Petrol,920000
C0296,Mahindra,Thar,SUV,2021,3,45000,Manual,First,Petrol,1370000
C0297,Maruti Suzuki,Celerio,Hatchback,2017,7,44000,Automatic,Second,Petrol,425000
C0298,Honda,City,Sedan,2021,3,37000,Automatic,First,Petrol,1150000
C0299,MG,Hector,SUV,2020,4,65000,Automatic,First,Petrol,1375000
C0300,Hyundai,Creta,SUV,2017,7,69000,Automatic,Second,Petrol,785000
C0301,Maruti Suzuki,Wagon-R,Hatchback,2016,8,79000,Manual,First,Petrol,380000
C0302,MG,ASTOR,SUV,2023,1,24000,Automatic,First,Petrol,1640000
C0303,Hyundai,Creta,SUV,2021,3,41000,Manual,First,Petrol,1050000
C0304,Maruti Suzuki,Grand Vitara,SUV,2023,1,35000,Manual,First,Petrol,1275000
C0305,Maruti Suzuki,Baleno,Hatchback,2021,3,38000,Manual,First,Petrol,750000
C0306,Kia,Seltos,SUV,2020,4,16000,Automatic,First,Petrol,1385000
C0307,Tata,Nexon,SUV,2018,6,62000,Automatic,Second,Petrol,675000
C0308,Maruti Suzuki,Baleno,Hatchback,2022,2,41000,Manual,First,Petrol,640000
C0309,Maruti Suzuki,Baleno,Hatchback,2018,6,110000,Manual,First,Petrol,585000
C0310,MG,Hector,SUV,2020,4,40000,Automatic,First,Petrol,1321111
C0311,Maruti Suzuki,Swift,Hatchback,2023,1,3,Manual,First,Petrol,760000
C0312,Hyundai,Verna,Sedan,2019,5,55000,Manual,First,Petrol,850000
C0313,Hyundai,Creta,SUV,2023,1,11000,Manual,First,Petrol,1340000
C0314,Hyundai,New i20,Hatchback,2024,0,3500,Manual,First,Petrol,820000
C0315,Maruti Suzuki,Wagon-R,Hatchback,2019,5,52468,Manual,First,Petrol,435000
C0316,Volkswagen,Virtus,Sedan,2022,2,14000,Automatic,First,Petrol,1740000
C0317,Maruti Suzuki,Swift,Hatchback,2016,8,60000,Manual,First,Petrol,359000
C0318,Kia,Seltos,SUV,2023,1,12000,Automatic,First,Petrol,1625000
C0319,Honda,Amaze,Sedan,2017,7,110000,Manual,Second,Petrol,420000
C0320,Kia,Sonet,SUV,2021,3,34000,Automatic,First,Diesel,1295000
